# a small number of samples are being processed and this list will be updated soon
CAMB-76C7A,ERS4946323,EPI_ISL_438459
CAMB-76C89,ERS4946163,EPI_ISL_438306
CAMB-76C98,ERS4946290,EPI_ISL_438426
CAMB-76CA7,ERS4946265,EPI_ISL_438402
CAMB-76CB6,ERS4946272,EPI_ISL_438409
CAMB-76CC5,ERS4946235,EPI_ISL_438376
CAMB-76CD4,ERS4946226,EPI_ISL_438368
CAMB-76CE3,ERS4946314,EPI_ISL_438450
CAMB-76CF2,ERS4946246,NULL
CAMB-76D0E,ERS4946343,EPI_ISL_438479
CAMB-76D2C,ERS4890476,EPI_ISL_439514
CAMB-76D4A,ERS4890360,EPI_ISL_439403
CAMB-76D68,ERS4890488,EPI_ISL_439525
CAMB-76D86,ERS4890309,EPI_ISL_438530
CAMB-76DA4,ERS4890412,EPI_ISL_439452
CAMB-76DC2,ERS4890333,EPI_ISL_439376
CAMB-76DE0,ERS4890303,EPI_ISL_438524
CAMB-76E0B,ERS4890436,EPI_ISL_439474
CAMB-76E29,ERS4890357,EPI_ISL_439400
CAMB-76E65,ERS4890347,EPI_ISL_439389
CAMB-76E83,ERS4890298,EPI_ISL_438519
CAMB-76EA1,ERS4890473,EPI_ISL_439511
CAMB-76ECF,ERS4890484,EPI_ISL_439521
CAMB-76EED,ERS4890466,EPI_ISL_439504
CAMB-76F26,ERS4890406,EPI_ISL_439447
CAMB-770D7,ERS4890480,EPI_ISL_439517
CAMB-770E6,ERS4890338,EPI_ISL_439380
CAMB-770F5,ERS4890354,EPI_ISL_439397
CAMB-77101,ERS4890312,EPI_ISL_438533
CAMB-77110,ERS4890392,EPI_ISL_439434
CAMB-7712F,ERS4890294,EPI_ISL_438515
CAMB-7714D,ERS4890395,EPI_ISL_439437
CAMB-7715C,ERS4890375,EPI_ISL_439417
CAMB-7716B,ERS4890328,EPI_ISL_439371
CAMB-7717A,ERS4890419,EPI_ISL_439459
CAMB-77189,ERS4890359,EPI_ISL_439402
CAMB-77198,ERS4890315,EPI_ISL_438536
CAMB-771A7,ERS4890450,EPI_ISL_439488
CAMB-771B6,ERS4890454,EPI_ISL_439492
CAMB-771C5,ERS4890290,EPI_ISL_438511
CAMB-771E3,ERS4890327,EPI_ISL_439370
CAMB-771F2,ERS4890479,EPI_ISL_439516
CAMB-7720E,ERS4890341,EPI_ISL_439383
CAMB-7721D,ERS4890352,EPI_ISL_439395
CAMB-7724A,ERS4890478,NULL
CAMB-77259,ERS4890320,EPI_ISL_438541
CAMB-77268,ERS4890334,EPI_ISL_439377
CAMB-77277,ERS4890288,EPI_ISL_438509
CAMB-77286,ERS4890343,EPI_ISL_439385
CAMB-77295,ERS4890445,EPI_ISL_439483
CAMB-772A4,ERS4890386,EPI_ISL_439428
CAMB-772B3,ERS4890339,EPI_ISL_439381
CAMB-772C2,ERS4890311,EPI_ISL_438532
CAMB-772D1,ERS4890378,EPI_ISL_439420
CAMB-772E0,ERS4890449,EPI_ISL_439487
CAMB-772FF,ERS4890394,EPI_ISL_439436
CAMB-7730B,ERS4890461,EPI_ISL_439499
CAMB-7731A,ERS4890342,EPI_ISL_439384
CAMB-77329,ERS4625155,EPI_ISL_439390
CAMB-77338,ERS4890409,NULL
CAMB-77347,ERS4890370,EPI_ISL_439412
CAMB-77365,ERS4890475,EPI_ISL_439513
CAMB-77374,ERS4890336,EPI_ISL_439378
CAMB-77383,ERS4890323,EPI_ISL_438544
CAMB-77392,ERS4890416,EPI_ISL_439456
CAMB-773A1,ERS4890306,EPI_ISL_438527
CAMB-773B0,ERS4890348,EPI_ISL_439391
CAMB-773CF,ERS4890423,EPI_ISL_439463
CAMB-773DE,ERS4890447,EPI_ISL_439485
CAMB-773ED,ERS4890457,EPI_ISL_439495
CAMB-77417,ERS4890434,EPI_ISL_439472
CAMB-77426,ERS4890332,EPI_ISL_439375
CAMB-77444,ERS4890321,EPI_ISL_438542
CAMB-77453,ERS4890324,EPI_ISL_438545
CAMB-77462,ERS4890460,EPI_ISL_439498
CAMB-77480,ERS4890456,EPI_ISL_439494
CAMB-7749F,ERS4890382,EPI_ISL_439424
CAMB-774AE,ERS4890411,EPI_ISL_439451
CAMB-774BD,ERS4890465,EPI_ISL_439503
CAMB-774CC,ERS4890452,EPI_ISL_439490
CAMB-774DB,ERS4890428,EPI_ISL_439467
CAMB-774F9,ERS4890374,EPI_ISL_439416
CAMB-77505,ERS4890302,EPI_ISL_438523
CAMB-77523,ERS4890491,NULL
CAMB-77532,ERS4890319,EPI_ISL_438540
CAMB-77541,ERS4890299,EPI_ISL_438520
CAMB-77550,ERS4890414,EPI_ISL_439454
CAMB-7756F,ERS4890361,NULL
CAMB-7757E,ERS4890292,EPI_ISL_438513
CAMB-7758D,ERS4890364,EPI_ISL_439406
CAMB-775AB,ERS4890335,NULL
CAMB-775BA,ERS4890307,EPI_ISL_438528
CAMB-775D8,ERS4890435,EPI_ISL_439473
CAMB-775E7,ERS4890318,EPI_ISL_438539
CAMB-775F6,ERS4890289,EPI_ISL_438510
CAMB-77602,ERS4890381,EPI_ISL_439423
CAMB-77620,ERS4890310,EPI_ISL_438531
CAMB-7763F,ERS4890440,EPI_ISL_439478
CAMB-7764E,ERS4890384,EPI_ISL_439426
CAMB-7765D,ERS4890316,EPI_ISL_438537
CAMB-7766C,ERS4890325,EPI_ISL_439368
CAMB-7767B,ERS4890388,EPI_ISL_439430
CAMB-7768A,ERS4890402,EPI_ISL_439443
CAMB-776A8,ERS4890496,EPI_ISL_439531
CAMB-776B7,ERS4890463,EPI_ISL_439501
CAMB-776C6,ERS4890408,EPI_ISL_439449
CAMB-776D5,ERS4890371,EPI_ISL_439413
CAMB-776E4,ERS4890331,EPI_ISL_439374
CAMB-776F3,ERS4890322,EPI_ISL_438543
CAMB-7772D,ERS4890372,EPI_ISL_439414
CAMB-7774B,ERS4890458,EPI_ISL_439496
CAMB-7775A,ERS4890379,EPI_ISL_439421
CAMB-77769,ERS4890345,EPI_ISL_439387
CAMB-77778,ERS4890417,EPI_ISL_439457
CAMB-77796,ERS4890462,EPI_ISL_439500
CAMB-777A5,ERS4890362,EPI_ISL_439404
CAMB-777C3,ERS4890494,EPI_ISL_439529
CAMB-777D2,ERS4890459,EPI_ISL_439497
CAMB-777E1,ERS4890443,EPI_ISL_439481
CAMB-777F0,ERS4890293,EPI_ISL_438514
CAMB-7780C,ERS4890344,EPI_ISL_439386
CAMB-7781B,ERS4890493,EPI_ISL_439528
CAMB-7782A,ERS4890415,EPI_ISL_439455
CAMB-77839,ERS4890326,EPI_ISL_439369
CAMB-77848,ERS4890397,EPI_ISL_439439
CAMB-77866,ERS4890363,EPI_ISL_439405
CAMB-77875,ERS4890451,EPI_ISL_439489
CAMB-77893,ERS4890471,EPI_ISL_439509
CAMB-778A2,ERS4890455,EPI_ISL_439493
CAMB-778B1,ERS4890400,EPI_ISL_439441
CAMB-778C0,ERS4890396,EPI_ISL_439438
CAMB-778DF,ERS4890404,EPI_ISL_439445
CAMB-778EE,ERS4890376,EPI_ISL_439418
CAMB-778FD,ERS4890442,EPI_ISL_439480
CAMB-77909,ERS4890389,EPI_ISL_439431
CAMB-77918,ERS4890420,EPI_ISL_439460
CAMB-77927,ERS4890432,EPI_ISL_439470
CAMB-77936,ERS4890425,NULL
CAMB-77954,ERS4890304,EPI_ISL_438525
CAMB-77963,ERS4890438,EPI_ISL_439476
CAMB-77972,ERS4890367,EPI_ISL_439409
CAMB-77981,ERS4890474,EPI_ISL_439512
CAMB-77990,ERS4890487,EPI_ISL_439524
CAMB-779AF,ERS4890427,EPI_ISL_439466
CAMB-779BE,ERS4890313,EPI_ISL_438534
CAMB-779CD,ERS4890350,EPI_ISL_439393
CAMB-779DC,ERS4890464,EPI_ISL_439502
CAMB-779EB,ERS4890446,EPI_ISL_439484
CAMB-77A15,ERS4890482,EPI_ISL_439519
CAMB-77A24,ERS4946095,EPI_ISL_440842
CAMB-77A33,ERS4890329,EPI_ISL_439372
CAMB-77A42,ERS4946070,EPI_ISL_440818
CAMB-77A51,ERS4890358,EPI_ISL_439401
CAMB-77A60,ERS4946092,EPI_ISL_440839
CAMB-77A7F,ERS4890403,EPI_ISL_439444
CAMB-77A8E,ERS4946106,EPI_ISL_438249
CAMB-77A9D,ERS4890424,EPI_ISL_439464
CAMB-77AAC,ERS4946067,EPI_ISL_591093
CAMB-77ABB,ERS4890393,EPI_ISL_439435
CAMB-77ACA,ERS4946073,EPI_ISL_440821
CAMB-77AD9,ERS4890349,EPI_ISL_439392
CAMB-77AE8,ERS4946080,EPI_ISL_440828
CAMB-77AF7,ERS4890387,EPI_ISL_439429
CAMB-77B03,ERS4890422,EPI_ISL_439462
CAMB-77B12,ERS4890330,EPI_ISL_439373
CAMB-77B21,ERS4890383,EPI_ISL_439425
CAMB-77B30,ERS4890472,EPI_ISL_439510
CAMB-77B4F,ERS4890391,EPI_ISL_439433
CAMB-77B5E,ERS4890489,EPI_ISL_439526
CAMB-77B6D,ERS4890441,EPI_ISL_439479
CAMB-77B7C,ERS4890340,EPI_ISL_439382
CAMB-77B8B,ERS4890413,EPI_ISL_439453
CAMB-77B9A,ERS4946082,EPI_ISL_440830
CAMB-77BA9,ERS4946094,EPI_ISL_440841
CAMB-77BB8,NULL,NULL
CAMB-77BC7,ERS4946084,EPI_ISL_440832
CAMB-77BD6,ERS4946085,EPI_ISL_440833
CAMB-77BE5,ERS4946103,EPI_ISL_440850
CAMB-77C00,ERS4946091,EPI_ISL_440838
CAMB-77C1F,ERS4946063,EPI_ISL_440812
CAMB-77C2E,ERS4946065,EPI_ISL_440814
CAMB-77C3D,ERS4946104,EPI_ISL_440851
CAMB-77C4C,ERS4946096,EPI_ISL_440843
CAMB-77C5B,ERS4946064,EPI_ISL_440813
CAMB-77C6A,ERS4946088,EPI_ISL_440836
CAMB-77C79,ERS4946066,EPI_ISL_440815
CAMB-77C88,ERS4946107,EPI_ISL_438250
CAMB-77C97,ERS4946062,EPI_ISL_440811
CAMB-77CA6,ERS4946074,EPI_ISL_440822
CAMB-77CB5,ERS4946102,EPI_ISL_440849
CAMB-77CC4,ERS4946098,EPI_ISL_440845
CAMB-77CD3,ERS4946071,EPI_ISL_440819
CAMB-77CE2,ERS4946075,EPI_ISL_440823
CAMB-77CF1,ERS4946077,EPI_ISL_440825
CAMB-77D0D,ERS4946081,EPI_ISL_440829
CAMB-77D1C,ERS4946086,EPI_ISL_440834
CAMB-77D2B,ERS4946987,EPI_ISL_440601
CAMB-77D3A,ERS4946624,EPI_ISL_441842
CAMB-77D58,ERS4946079,EPI_ISL_440827
CAMB-77D67,ERS4946100,EPI_ISL_440847
CAMB-77D76,ERS4946076,EPI_ISL_440824
CAMB-77D85,ERS4946109,EPI_ISL_438252
CAMB-77DA3,ERS4946089,EPI_ISL_440837
CAMB-77DB2,ERS4946083,EPI_ISL_440831
CAMB-77DC1,ERS4946105,EPI_ISL_438248
CAMB-77DD0,ERS4946108,EPI_ISL_438251
CAMB-77DEF,ERS4946069,EPI_ISL_440817
CAMB-77E0A,ERS4946097,EPI_ISL_440844
CAMB-77E19,ERS4946110,EPI_ISL_438253
CAMB-77E28,ERS4946061,EPI_ISL_440810
CAMB-77E37,ERS4946087,EPI_ISL_440835
CAMB-77E46,ERS4946901,EPI_ISL_441312
CAMB-77E64,ERS4946072,EPI_ISL_440820
CAMB-77E73,ERS4946068,EPI_ISL_440816
CAMB-77E82,ERS4946617,EPI_ISL_441836
CAMB-77E91,ERS4946705,EPI_ISL_441125
CAMB-77EA0,ERS4946766,EPI_ISL_441185
CAMB-77EBF,ERS4946619,EPI_ISL_441837
CAMB-77ECE,ERS4946622,EPI_ISL_441840
CAMB-77EDD,ERS4946785,EPI_ISL_441204
CAMB-77EEC,ERS4946738,EPI_ISL_441157
CAMB-77EFB,ERS4946078,EPI_ISL_440826
CAMB-77F07,ERS4946600,EPI_ISL_441819
CAMB-77F16,ERS4946101,EPI_ISL_440848
CAMB-77F25,ERS4946618,NULL
CAMB-77F34,ERS4946093,EPI_ISL_440840
CAMB-77F43,ERS4946787,EPI_ISL_441206
CAMB-77F52,ERS4946827,EPI_ISL_441243
CAMB-77F61,ERS4946700,EPI_ISL_441120
CAMB-77F70,ERS4946928,EPI_ISL_441339
CAMB-77F8F,ERS4946743,EPI_ISL_441162
CAMB-77F9E,ERS4946099,EPI_ISL_440846
CAMB-77FAD,ERS4946570,EPI_ISL_441789
CAMB-77FBC,ERS4946111,EPI_ISL_438254
CAMB-77FCB,ERS4946576,EPI_ISL_441795
CAMB-77FDA,ERS4946090,NULL
CAMB-77FE9,ERS4946811,EPI_ISL_441229
CAMB-77FF8,ERS4946850,EPI_ISL_441264
CAMB-78003,ERS4946726,EPI_ISL_441146
CAMB-78012,ERS4946703,EPI_ISL_441123
CAMB-78030,ERS4946708,EPI_ISL_441128
CAMB-7804F,ERS4946584,EPI_ISL_441803
CAMB-7806D,ERS4946683,EPI_ISL_441103
CAMB-7809A,ERS4946732,EPI_ISL_441152
CAMB-780A9,ERS4946698,EPI_ISL_441118
CAMB-780B8,ERS4946744,EPI_ISL_441163
CAMB-780D6,ERS4946616,EPI_ISL_441835
CAMB-780E5,NULL,NULL
CAMB-78100,NULL,NULL
CAMB-7811F,ERS4946741,EPI_ISL_441160
CAMB-7812E,ERS4946729,EPI_ISL_441149
CAMB-7813D,ERS4946612,EPI_ISL_441831
CAMB-7814C,ERS4946690,EPI_ISL_441110
CAMB-7815B,ERS4946692,EPI_ISL_441112
CAMB-7816A,ERS4946687,EPI_ISL_441107
CAMB-78179,ERS4946719,EPI_ISL_441139
CAMB-78188,ERS4946724,EPI_ISL_441144
CAMB-78AD8,ERS4946800,EPI_ISL_441219
CAMB-78AF6,ERS4946567,EPI_ISL_441786
CAMB-78B02,ERS4946691,EPI_ISL_441111
CAMB-78B11,ERS4946589,EPI_ISL_441808
CAMB-78B20,ERS4946659,EPI_ISL_441080
CAMB-78B3F,ERS4946640,EPI_ISL_441062
CAMB-78B4E,ERS4946633,EPI_ISL_441056
CAMB-78B5D,ERS4946628,EPI_ISL_441846
CAMB-78B8A,ERS4946825,NULL
CAMB-78B99,ERS4946631,EPI_ISL_441054
CAMB-78BA8,ERS4946845,EPI_ISL_441260
CAMB-78BB7,ERS4946765,EPI_ISL_441184
CAMB-78BD5,ERS4946767,EPI_ISL_441186
CAMB-78BF3,ERS4946731,EPI_ISL_441151
CAMB-78C0F,ERS4946739,EPI_ISL_441158
CAMB-78C1E,ERS4946783,EPI_ISL_441202
CAMB-78C2D,ERS4946651,EPI_ISL_441072
CAMB-78C4B,ERS4946652,EPI_ISL_441073
CAMB-78C5A,ERS4946718,EPI_ISL_441138
CAMB-78C69,ERS4946742,EPI_ISL_441161
CAMB-78C78,ERS4946696,EPI_ISL_441116
CAMB-78C87,ERS4946704,EPI_ISL_441124
CAMB-78C96,ERS4946649,EPI_ISL_441070
CAMB-78CA5,ERS4946801,EPI_ISL_441220
CAMB-78CB4,ERS4946751,EPI_ISL_441170
CAMB-78CC3,ERS4946730,EPI_ISL_441150
CAMB-78CE1,ERS4946583,EPI_ISL_441802
CAMB-78CF0,ERS4946675,EPI_ISL_441096
CAMB-78D0C,ERS4946859,EPI_ISL_441273
CAMB-78D1B,ERS4946608,EPI_ISL_441827
CAMB-78D2A,ERS4946946,EPI_ISL_440562
CAMB-78D39,ERS4946797,EPI_ISL_441216
CAMB-78D48,ERS4946925,EPI_ISL_441336
CAMB-78D75,ERS4946585,EPI_ISL_441804
CAMB-78D84,ERS4946823,EPI_ISL_441240
CAMB-78D93,ERS4946663,EPI_ISL_441084
CAMB-78DA2,ERS4946837,EPI_ISL_441252
CAMB-78DB1,ERS4946695,EPI_ISL_441115
CAMB-78DC0,ERS4946866,EPI_ISL_441279
CAMB-78DDF,ERS4946938,EPI_ISL_441349
CAMB-78DEE,ERS4946965,EPI_ISL_440579
CAMB-78DFD,ERS4946819,EPI_ISL_441237
CAMB-78E09,ERS4946849,EPI_ISL_441263
CAMB-78E27,ERS4946869,EPI_ISL_441281
CAMB-78E36,ERS4946876,EPI_ISL_441288
CAMB-78E45,ERS4946867,EPI_ISL_441280
CAMB-78E54,ERS4946814,EPI_ISL_441232
CAMB-78E72,ERS4946919,EPI_ISL_441330
CAMB-78E90,ERS4946847,EPI_ISL_441262
CAMB-78EAF,ERS4946980,EPI_ISL_440594
CAMB-78EEB,ERS4946858,EPI_ISL_441272
CAMB-78F24,ERS4947009,EPI_ISL_440622
CAMB-78F33,ERS4946851,EPI_ISL_441265
CAMB-78F42,ERS4946991,NULL
CAMB-78F60,ERS4946772,EPI_ISL_441191
CAMB-78F7F,ERS4946678,EPI_ISL_441099
CAMB-78F9D,ERS4946756,EPI_ISL_441175
CAMB-78FAC,ERS4946679,EPI_ISL_441100
CAMB-78FD9,ERS4946579,EPI_ISL_441798
CAMB-78FF7,ERS4946598,EPI_ISL_441817
CAMB-79002,ERS4946856,EPI_ISL_441270
CAMB-79011,ERS4946582,EPI_ISL_441801
CAMB-79020,ERS4946995,EPI_ISL_440608
CAMB-7903F,ERS4946566,EPI_ISL_441785
CAMB-7904E,ERS4946807,EPI_ISL_441225
CAMB-7905D,ERS4946594,EPI_ISL_441813
CAMB-7906C,ERS4946971,EPI_ISL_440585
CAMB-7907B,ERS4946750,EPI_ISL_441169
CAMB-7908A,ERS4946911,EPI_ISL_441322
CAMB-79099,ERS4946736,EPI_ISL_441155
CAMB-790B7,ERS4946657,EPI_ISL_441078
CAMB-790C6,ERS4946572,EPI_ISL_441791
CAMB-790D5,ERS4946677,EPI_ISL_441098
CAMB-790E4,ERS4946621,EPI_ISL_441839
CAMB-790F3,ERS4946788,EPI_ISL_441207
CAMB-7911E,ERS4946710,EPI_ISL_441130
CAMB-7912D,ERS4946740,EPI_ISL_441159
CAMB-7913C,ERS4946660,EPI_ISL_441081
CAMB-7915A,ERS4946803,EPI_ISL_441222
CAMB-79178,ERS4946716,EPI_ISL_441136
CAMB-79196,ERS4946664,EPI_ISL_441085
CAMB-791A5,ERS4946693,EPI_ISL_441113
CAMB-791B4,ERS4946588,EPI_ISL_441807
CAMB-791C3,ERS4946607,EPI_ISL_441826
CAMB-791D2,ERS4946706,EPI_ISL_441126
CAMB-791F0,ERS4946641,EPI_ISL_441063
CAMB-7920C,ERS4946773,EPI_ISL_441192
CAMB-7922A,ERS4946574,EPI_ISL_441793
CAMB-79239,ERS4946635,EPI_ISL_441058
CAMB-79248,ERS4946791,EPI_ISL_441210
CAMB-79257,ERS4946646,EPI_ISL_441067
CAMB-79266,ERS4946749,EPI_ISL_441168
CAMB-79275,ERS4946709,EPI_ISL_441129
CAMB-79284,ERS4946755,EPI_ISL_441174
CAMB-792A2,ERS4946686,EPI_ISL_441106
CAMB-792C0,ERS4946645,EPI_ISL_441066
CAMB-792EE,ERS4946784,EPI_ISL_441203
CAMB-792FD,ERS4946603,EPI_ISL_441822
CAMB-79327,ERS4946734,EPI_ISL_441154
CAMB-79336,ERS4946752,EPI_ISL_441171
CAMB-79345,ERS4946615,EPI_ISL_441834
CAMB-79363,ERS4946737,EPI_ISL_441156
CAMB-79372,ERS4946746,EPI_ISL_441165
CAMB-79390,ERS4946613,EPI_ISL_441832
CAMB-793AF,ERS4946614,EPI_ISL_441833
CAMB-793BE,ERS4946761,EPI_ISL_441180
CAMB-793CD,ERS4946670,EPI_ISL_441091
CAMB-793DC,ERS4946654,EPI_ISL_441075
CAMB-793FA,ERS4946636,EPI_ISL_441059
CAMB-79406,ERS4946685,EPI_ISL_441105
CAMB-79415,ERS4946727,EPI_ISL_441147
CAMB-79424,ERS4946777,EPI_ISL_441196
CAMB-79433,ERS4946720,EPI_ISL_441140
CAMB-79442,ERS4946721,EPI_ISL_441141
CAMB-79451,ERS4946665,EPI_ISL_441086
CAMB-79460,ERS4946694,EPI_ISL_441114
CAMB-7949D,ERS4946684,EPI_ISL_441104
CAMB-794AC,ERS4946713,EPI_ISL_441133
CAMB-794CA,ERS4946610,EPI_ISL_441829
CAMB-794D9,ERS4946762,EPI_ISL_441181
CAMB-794F7,ERS4946711,EPI_ISL_441131
CAMB-79503,ERS4946573,EPI_ISL_441792
CAMB-79512,ERS4946601,EPI_ISL_441820
CAMB-79521,ERS4946764,EPI_ISL_441183
CAMB-79530,ERS4946580,EPI_ISL_441799
CAMB-7954F,ERS4946745,EPI_ISL_441164
CAMB-7955E,ERS4946778,EPI_ISL_441197
CAMB-7956D,ERS4946575,EPI_ISL_441794
CAMB-7957C,ERS4946781,EPI_ISL_441200
CAMB-7958B,ERS4946653,EPI_ISL_441074
CAMB-7959A,ERS4946770,EPI_ISL_441189
CAMB-795A9,ERS4946668,EPI_ISL_441089
CAMB-795B8,ERS4946699,EPI_ISL_441119
CAMB-795C7,ERS4946658,EPI_ISL_441079
CAMB-795D6,ERS4946782,EPI_ISL_441201
CAMB-795E5,ERS4946609,EPI_ISL_441828
CAMB-795F4,ERS4946681,EPI_ISL_441102
CAMB-7961F,ERS4946793,EPI_ISL_441212
CAMB-7962E,ERS4946794,EPI_ISL_441213
CAMB-7963D,ERS4946790,EPI_ISL_441209
CAMB-7964C,ERS4946779,EPI_ISL_441198
CAMB-7965B,ERS4946602,EPI_ISL_441821
CAMB-7966A,ERS4946775,EPI_ISL_441194
CAMB-79679,ERS4946596,EPI_ISL_441815
CAMB-79688,ERS4946780,EPI_ISL_441199
CAMB-79697,ERS4946638,EPI_ISL_441061
CAMB-796A6,ERS4946625,EPI_ISL_441843
CAMB-796B5,ERS4946795,EPI_ISL_441214
CAMB-796C4,ERS4946595,EPI_ISL_441814
CAMB-796E2,ERS4946604,EPI_ISL_441823
CAMB-796F1,ERS4946796,EPI_ISL_441215
CAMB-7970D,ERS4946728,EPI_ISL_441148
CAMB-7971C,ERS4946667,EPI_ISL_441088
CAMB-7973A,ERS4946733,EPI_ISL_441153
CAMB-79749,ERS4946768,EPI_ISL_441187
CAMB-79758,ERS4946669,EPI_ISL_441090
CAMB-79767,ERS4946723,EPI_ISL_441143
CAMB-79776,ERS4946650,EPI_ISL_441071
CAMB-79785,ERS4946701,EPI_ISL_441121
CAMB-79794,ERS4946630,EPI_ISL_441053
CAMB-797A3,ERS4946643,EPI_ISL_441064
CAMB-797B2,ERS4946725,EPI_ISL_441145
CAMB-797C1,ERS4946798,EPI_ISL_441217
CAMB-797D0,ERS4946597,EPI_ISL_441816
CAMB-797EF,ERS4946672,EPI_ISL_441093
CAMB-797FE,ERS4946760,EPI_ISL_441179
CAMB-7980A,ERS4946623,EPI_ISL_441841
CAMB-79819,ERS4946578,EPI_ISL_441797
CAMB-79828,ERS4946763,EPI_ISL_441182
CAMB-79837,ERS4946586,EPI_ISL_441805
CAMB-79846,ERS4946599,EPI_ISL_441818
CAMB-79855,ERS4946717,EPI_ISL_441137
CAMB-79864,ERS4946592,EPI_ISL_441811
CAMB-79873,ERS4946569,EPI_ISL_441788
CAMB-79882,ERS4946590,EPI_ISL_441809
CAMB-79891,ERS4946747,EPI_ISL_441166
CAMB-798A0,ERS4946754,EPI_ISL_441173
CAMB-798CE,ERS4946577,EPI_ISL_441796
CAMB-798DD,ERS4946735,NULL
CAMB-798EC,ERS4946661,EPI_ISL_441082
CAMB-798FB,ERS4946792,EPI_ISL_441211
CAMB-79907,ERS4946895,EPI_ISL_441307
CAMB-79916,ERS4946655,EPI_ISL_441076
CAMB-79925,ERS4946890,EPI_ISL_441302
CAMB-79B3E,ERS4946944,EPI_ISL_440560
CAMB-79B4D,ERS4946924,EPI_ISL_441335
CAMB-79B5C,ERS4946873,EPI_ISL_441285
CAMB-79B6B,ERS4946893,EPI_ISL_441305
CAMB-79B7A,ERS4946899,EPI_ISL_441310
CAMB-79B89,ERS4947008,EPI_ISL_440621
CAMB-79B98,ERS4946808,EPI_ISL_441226
CAMB-79BA7,ERS4946982,EPI_ISL_440596
CAMB-79BB6,ERS4946948,EPI_ISL_440564
CAMB-79BD4,ERS4946824,EPI_ISL_441241
CAMB-79BE3,ERS4946806,NULL
CAMB-79BF2,ERS4946839,EPI_ISL_441254
CAMB-79C0E,ERS4946872,EPI_ISL_441284
CAMB-79C1D,ERS4946848,EPI_ISL_591081
CAMB-79C2C,ERS4946883,EPI_ISL_441295
CAMB-79C3B,ERS4946809,EPI_ISL_441227
CAMB-79C59,ERS4946815,EPI_ISL_441233
CAMB-79C68,ERS4946937,EPI_ISL_441348
CAMB-79C77,ERS4946884,EPI_ISL_441296
CAMB-79CA4,ERS4946990,EPI_ISL_440604
CAMB-79CB3,ERS4946889,EPI_ISL_441301
CAMB-79CC2,ERS4946985,EPI_ISL_440599
CAMB-79CD1,ERS4946897,EPI_ISL_441308
CAMB-79CE0,ERS4946961,EPI_ISL_440576
CAMB-79CFF,ERS4946894,EPI_ISL_441306
CAMB-79D0B,ERS4946921,EPI_ISL_441332
CAMB-79D1A,ERS4946896,NULL
CAMB-79D29,ERS4946886,EPI_ISL_441298
CAMB-79D38,ERS4947002,EPI_ISL_440615
CAMB-79D47,ERS4946902,EPI_ISL_441313
CAMB-79D65,ERS4946833,EPI_ISL_441248
CAMB-79D74,ERS4946978,EPI_ISL_440592
CAMB-79D83,ERS4947007,EPI_ISL_440620
CAMB-79DA1,ERS4946963,EPI_ISL_440577
CAMB-79DB0,ERS4946880,EPI_ISL_441292
CAMB-79DCF,ERS4946863,EPI_ISL_441276
CAMB-79DDE,ERS4946957,EPI_ISL_440572
CAMB-79DED,ERS4946887,EPI_ISL_441299
CAMB-79DFC,ERS4946805,EPI_ISL_441224
CAMB-79E08,ERS4946885,EPI_ISL_441297
CAMB-79E17,ERS4946870,EPI_ISL_441282
CAMB-79E26,ERS4947006,EPI_ISL_440619
CAMB-79E35,ERS4946835,EPI_ISL_441250
CAMB-79E44,ERS4946983,EPI_ISL_440597
CAMB-79E53,ERS4946930,EPI_ISL_441341
CAMB-79E62,ERS4946993,EPI_ISL_440606
CAMB-79E71,ERS4946917,EPI_ISL_441328
CAMB-79E80,ERS4946843,EPI_ISL_441258
CAMB-79E9F,ERS4947004,EPI_ISL_440617
CAMB-79EAE,ERS4946830,EPI_ISL_441246
CAMB-79EBD,ERS4947000,EPI_ISL_440613
CAMB-79ECC,ERS4946822,NULL
CAMB-79EDB,ERS4946914,EPI_ISL_441325
CAMB-79EEA,ERS4946943,EPI_ISL_440559
CAMB-79EF9,ERS4946989,EPI_ISL_440603
CAMB-79F14,ERS4946908,EPI_ISL_441319
CAMB-79F23,ERS4946844,EPI_ISL_441259
CAMB-79F32,ERS4946832,EPI_ISL_441247
CAMB-79F41,ERS4946951,EPI_ISL_440567
CAMB-79F50,ERS4946852,EPI_ISL_441266
CAMB-79F6F,ERS4946854,EPI_ISL_441268
CAMB-79F7E,ERS4946929,EPI_ISL_441340
CAMB-79F8D,ERS4946942,EPI_ISL_440558
CAMB-79F9C,ERS4946992,EPI_ISL_440605
CAMB-79FAB,ERS4946860,EPI_ISL_441274
CAMB-79FBA,ERS4946900,EPI_ISL_441311
CAMB-79FC9,ERS4946918,EPI_ISL_441329
CAMB-79FD8,ERS4946820,EPI_ISL_441238
CAMB-79FE7,ERS4946952,EPI_ISL_440568
CAMB-79FF6,ERS4946986,EPI_ISL_440600
CAMB-7A001,ERS4946958,EPI_ISL_440573
CAMB-7A010,ERS4946913,EPI_ISL_441324
CAMB-7A02F,ERS4946916,EPI_ISL_441327
CAMB-7A03E,ERS4946898,EPI_ISL_441309
CAMB-7A04D,ERS4946926,EPI_ISL_441337
CAMB-7A07A,ERS4946846,EPI_ISL_441261
CAMB-7A089,ERS4946864,EPI_ISL_441277
CAMB-7A098,ERS4946997,EPI_ISL_440610
CAMB-7A0A7,ERS4946935,EPI_ISL_441346
