# a small number of samples are being processed and this list will be updated soon
CAMB-7226D,ERS4945978,NULL
CAMB-7227C,NULL,NULL
CAMB-7228B,ERS4945924,EPI_ISL_439624
CAMB-7229A,ERS4945847,EPI_ISL_439551
CAMB-722A9,ERS4945893,EPI_ISL_439593
CAMB-722B8,ERS4945880,NULL
CAMB-722C7,ERS4945853,EPI_ISL_439557
CAMB-722D6,ERS4946007,EPI_ISL_439902
CAMB-722E5,ERS4945905,EPI_ISL_439605
CAMB-722F4,ERS4945918,EPI_ISL_439618
CAMB-72300,ERS4945961,EPI_ISL_439661
CAMB-7231F,ERS4945861,EPI_ISL_439564
CAMB-7232E,ERS4945876,EPI_ISL_439577
CAMB-7233D,ERS4945951,EPI_ISL_439651
CAMB-7234C,ERS4945874,EPI_ISL_439575
CAMB-7236A,ERS4946021,EPI_ISL_439914
CAMB-72379,ERS4945831,EPI_ISL_439535
CAMB-72388,ERS4946014,EPI_ISL_439908
CAMB-723A6,ERS4946056,EPI_ISL_439948
CAMB-723B5,ERS4945895,EPI_ISL_439595
CAMB-723C4,ERS4946010,EPI_ISL_439904
CAMB-723E2,ERS4945843,EPI_ISL_439547
CAMB-723F1,ERS4946016,EPI_ISL_439910
CAMB-7240D,ERS4945838,EPI_ISL_439542
CAMB-7241C,ERS4945942,EPI_ISL_439642
CAMB-7242B,ERS4945936,EPI_ISL_439636
CAMB-7243A,ERS4945884,EPI_ISL_439584
CAMB-72458,ERS4946048,EPI_ISL_439940
CAMB-72467,ERS4945921,EPI_ISL_439621
CAMB-72476,ERS4945848,EPI_ISL_439552
CAMB-72485,ERS4945896,EPI_ISL_439596
CAMB-72494,ERS4945836,EPI_ISL_439540
CAMB-724A3,ERS4946000,EPI_ISL_439895
CAMB-724B2,ERS4946051,EPI_ISL_439943
CAMB-724C1,ERS4945870,EPI_ISL_439572
CAMB-724D0,ERS4945932,EPI_ISL_439632
CAMB-724EF,ERS4945872,NULL
CAMB-724FE,ERS4945900,EPI_ISL_439600
CAMB-7250A,ERS4945977,EPI_ISL_439875
CAMB-72519,ERS4945915,EPI_ISL_439615
CAMB-72537,ERS4945934,EPI_ISL_439634
CAMB-72546,ERS4945837,EPI_ISL_439541
CAMB-72555,NULL,NULL
CAMB-72564,ERS4946046,EPI_ISL_439938
CAMB-72573,ERS4946053,EPI_ISL_439945
CAMB-72582,ERS4946028,EPI_ISL_439921
CAMB-72591,ERS4945993,EPI_ISL_439889
CAMB-725A0,ERS4945916,EPI_ISL_439616
CAMB-725BF,ERS4946011,EPI_ISL_439905
CAMB-725DD,ERS4946027,EPI_ISL_439920
CAMB-725EC,ERS4946003,EPI_ISL_439898
CAMB-725FB,ERS4945928,EPI_ISL_439628
CAMB-72607,ERS4946012,EPI_ISL_439906
CAMB-72616,ERS4945829,EPI_ISL_439533
CAMB-72625,ERS4945948,EPI_ISL_439648
CAMB-72634,ERS4945943,EPI_ISL_439643
CAMB-72652,ERS4946033,EPI_ISL_439926
CAMB-72661,ERS4945862,NULL
CAMB-72670,ERS4945868,EPI_ISL_439570
CAMB-7268F,ERS4946047,EPI_ISL_439939
CAMB-7269E,ERS4946002,EPI_ISL_439897
CAMB-726AD,ERS4945873,EPI_ISL_439574
CAMB-726BC,ERS4945909,EPI_ISL_439609
CAMB-726CB,ERS4945904,EPI_ISL_439604
